Date,Pays,Deces,diffDeces0,diffDecesHier,pctgrow,daySince0,moyenne7
2020-03-07,Italie,197,36,49,-0.27,15.0,0.45
2020-03-07,Japon,6,0,0,,23.0,-0.5
2020-03-07,Royaume-Uni,2,0,1,-1.0,2.0,-0.5
2020-03-07,"États-Unis",14,3,2,0.5,7.0,0.33
2020-03-08,Australie,2,2,0,,7.0,-1.0
2020-03-08,Autres,6,0,0,,17.0,
2020-03-08,"Corée du Sud",44,6,2,2.0,17.0,1.86
2020-03-08,Espagne,10,7,5,0.4,5.0,0.58
2020-03-08,France,11,8,2,3.0,22.0,0.43
2020-03-08,Hong-Kong,2,1,0,,33.0,
2020-03-08,Iraq,4,2,1,1.0,4.0,0.0
2020-03-08,Italie,233,133,36,2.69,16.0,0.89
2020-03-08,Japon,6,0,0,,24.0,-1.0
2020-03-08,Royaume-Uni,2,1,0,,3.0,-0.5
2020-03-08,"États-Unis",17,4,3,0.33,8.0,0.55
2020-03-09,Australie,4,0,2,-1.0,8.0,-1.0
2020-03-09,Autres,6,0,0,,18.0,
2020-03-09,"Corée du Sud",50,3,6,-0.5,18.0,-0.24
2020-03-09,Espagne,17,11,7,0.57,6.0,0.58
2020-03-09,France,19,6,8,-0.25,23.0,0.32
2020-03-09,Hong-Kong,3,0,1,-1.0,34.0,-1.0
2020-03-09,Iraq,6,0,2,-1.0,5.0,-0.25
2020-03-09,Italie,366,97,133,-0.27,17.0,0.48
2020-03-09,Japon,6,11,0,,25.0,
2020-03-09,Pays-Bas,3,0,2,-1.0,3.0,-1.0
2020-03-09,Royaume-Uni,3,1,1,0.0,4.0,-0.33
2020-03-09,Suisse,2,0,1,-1.0,4.0,-1.0
2020-03-09,"États-Unis",21,1,4,-0.75,9.0,0.36
2020-03-10,Allemagne,2,0,2,-1.0,1.0,-1.0
2020-03-10,Australie,4,-1,0,,9.0,-1.0
2020-03-10,Autres,6,0,0,,19.0,
2020-03-10,"Corée du Sud",53,1,3,-0.67,19.0,-0.18
2020-03-10,Espagne,28,7,11,-0.36,7.0,0.44
2020-03-10,France,25,8,6,0.33,24.0,0.38
2020-03-10,Hong-Kong,3,0,0,,35.0,-1.0
2020-03-10,Iraq,6,1,0,,6.0,-0.25
2020-03-10,Italie,463,168,97,0.73,18.0,0.51
2020-03-10,Japon,17,-7,11,-1.64,26.0,-1.64
2020-03-10,Pays-Bas,3,1,0,,4.0,-1.0
2020-03-10,Royaume-Uni,4,2,1,1.0,5.0,0.0
2020-03-10,Suisse,2,1,0,,5.0,-1.0
2020-03-10,"États-Unis",22,6,1,5.0,10.0,1.19
2020-03-11,Allemagne,2,1,0,,2.0,-1.0
2020-03-11,Australie,3,0,-1,-1.0,10.0,-1.0
2020-03-11,Autres,6,1,0,,20.0,
2020-03-11,"Corée du Sud",54,6,1,5.0,20.0,0.69
2020-03-11,Espagne,35,19,7,1.71,8.0,0.69
2020-03-11,France,33,15,8,0.88,25.0,0.69
2020-03-11,Hong-Kong,3,0,0,,36.0,-1.0
2020-03-11,Iraq,7,0,1,-1.0,7.0,-0.4
2020-03-11,Italie,631,196,168,0.17,19.0,0.53
2020-03-11,Japon,10,5,-7,-1.71,27.0,-1.68
2020-03-11,Pays-Bas,4,1,1,0.0,5.0,-0.67
2020-03-11,Royaume-Uni,6,2,2,0.0,6.0,0.0
2020-03-11,Saint-Marin,2,0,1,-1.0,8.0,-1.0
2020-03-11,Suisse,3,1,1,0.0,6.0,-0.67
2020-03-11,"États-Unis",28,8,6,0.33,11.0,0.81
2020-03-12,Allemagne,3,3,1,2.0,3.0,0.5
2020-03-12,Australie,3,0,0,,11.0,-1.0
2020-03-12,Autres,7,0,1,-1.0,21.0,-1.0
2020-03-12,Belgique,3,0,3,-1.0,1.0,-1.0
2020-03-12,"Corée du Sud",60,6,6,0.0,21.0,0.85
2020-03-12,Espagne,54,32,19,0.68,9.0,0.79
2020-03-12,France,48,13,15,-0.13,26.0,0.57
2020-03-12,Hong-Kong,3,0,0,,37.0,-1.0
2020-03-12,Iraq,7,1,0,,8.0,-0.25
2020-03-12,Italie,827,189,196,-0.04,20.0,0.46
2020-03-12,Japon,15,4,5,-0.2,28.0,-1.18
2020-03-12,Liban,3,0,2,-1.0,2.0,0.0
2020-03-12,Pays-Bas,5,0,1,-1.0,6.0,-0.75
2020-03-12,Royaume-Uni,8,2,2,0.0,7.0,0.0
2020-03-12,Saint-Marin,2,1,0,,9.0,-1.0
2020-03-12,Suisse,4,3,1,2.0,7.0,0.0
2020-03-12,"États-Unis",36,4,8,-0.5,12.0,0.85
2020-03-13,Allemagne,6,1,3,-0.67,4.0,0.11
2020-03-13,Australie,3,38,0,,12.0,-1.0
2020-03-13,Autres,7,0,0,,22.0,-1.0
2020-03-13,Belgique,3,0,0,,2.0,-1.0
2020-03-13,"Corée du Sud",66,0,6,-1.0,22.0,0.59
2020-03-13,Espagne,86,47,32,0.47,10.0,0.71
2020-03-13,France,61,18,13,0.38,27.0,0.55
2020-03-13,Hong-Kong,3,1,0,,38.0,-1.0
2020-03-13,Iraq,8,1,1,0.0,9.0,-0.2
2020-03-13,Italie,1016,250,189,0.32,21.0,0.48
2020-03-13,Japon,19,0,4,-1.0,29.0,-1.14
2020-03-13,Liban,3,0,0,,3.0,0.0
2020-03-13,Pays-Bas,5,5,0,,7.0,-0.75
2020-03-13,Philippines,2,3,1,2.0,40.0,2.0
2020-03-13,Royaume-Uni,10,-2,2,-2.0,8.0,-0.33
2020-03-13,Saint-Marin,3,2,1,1.0,10.0,0.0
2020-03-13,Suisse,7,4,3,0.33,8.0,0.33
2020-03-13,"États-Unis",40,7,4,0.75,13.0,0.81
2020-03-14,"Algérie",2,1,1,0.0,2.0,0.0
2020-03-14,Allemagne,7,2,1,1.0,5.0,0.33
2020-03-14,Argentine,2,0,1,-1.0,6.0,-1.0
2020-03-14,Australie,41,-38,38,-2.0,13.0,-1.33
2020-03-14,Autres,7,0,0,,23.0,-1.0
2020-03-14,Belgique,3,1,0,,3.0,-1.0
2020-03-14,"Corée du Sud",66,6,0,,23.0,0.81
2020-03-14,Espagne,133,62,47,0.32,11.0,0.54
2020-03-14,France,79,12,18,-0.33,28.0,0.55
2020-03-14,Hong-Kong,4,0,1,-1.0,39.0,-1.0
2020-03-14,Inde,2,0,1,-1.0,3.0,-1.0
2020-03-14,"Indonésie",4,1,3,-0.67,3.0,-0.83
2020-03-14,Iraq,9,1,1,0.0,10.0,-0.2
2020-03-14,Italie,1266,175,250,-0.3,22.0,0.47
2020-03-14,Japon,19,3,0,,30.0,-1.14
2020-03-14,Liban,3,0,0,,4.0,0.0
2020-03-14,Pays-Bas,10,2,5,-0.6,8.0,-0.65
2020-03-14,Philippines,5,3,3,0.0,41.0,1.0
2020-03-14,Pologne,2,1,1,0.0,2.0,0.0
2020-03-14,Royaume-Uni,8,13,-2,-7.5,9.0,-1.42
2020-03-14,Saint-Marin,5,0,2,-1.0,11.0,-0.33
2020-03-14,Suisse,11,2,4,-0.5,9.0,0.17
2020-03-14,"Égypte",2,0,1,-1.0,6.0,-1.0
2020-03-14,"États-Unis",47,7,7,0.0,14.0,0.74
2020-03-15,"Algérie",3,1,1,0.0,3.0,0.0
2020-03-15,Allemagne,9,2,2,0.0,6.0,0.27
2020-03-15,Argentine,2,0,0,,7.0,-1.0
2020-03-15,Australie,3,0,-38,-1.0,14.0,-1.25
2020-03-15,Autres,7,0,0,,24.0,-1.0
2020-03-15,Belgique,4,0,1,-1.0,4.0,-1.0
2020-03-15,Bulgarie,2,0,1,-1.0,4.0,-1.0
2020-03-15,"Corée du Sud",72,3,6,-0.5,24.0,0.39
2020-03-15,Espagne,195,94,62,0.52,12.0,0.56
2020-03-15,France,91,36,12,2.0,29.0,0.41
2020-03-15,"Grèce",3,1,2,-0.5,4.0,-0.75
2020-03-15,Hong-Kong,4,0,0,,40.0,-1.0
2020-03-15,Inde,2,0,0,,4.0,-1.0
2020-03-15,"Indonésie",5,0,1,-1.0,4.0,-0.89
2020-03-15,Iraq,10,0,1,-1.0,11.0,-0.6
2020-03-15,Irlande,2,0,1,-1.0,4.0,-1.0
2020-03-15,Italie,1441,368,175,1.1,23.0,0.25
2020-03-15,Japon,22,0,3,-1.0,31.0,-1.11
2020-03-15,Liban,3,0,0,,5.0,0.0
2020-03-15,"Norvège",3,0,3,-1.0,1.0,-1.0
2020-03-15,Pays-Bas,12,8,2,3.0,9.0,0.08
2020-03-15,Philippines,8,3,3,0.0,42.0,0.67
2020-03-15,Pologne,3,0,1,-1.0,3.0,-0.33
2020-03-15,Royaume-Uni,21,14,13,0.08,10.0,-1.2
2020-03-15,Saint-Marin,5,0,0,,12.0,-0.33
